CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr11,11373489,11374904,283106,38,102,170,5,11,14,1415,2.69%,7.21%,12.01%,0.35%,0.78%,0.99%
chr8,144788864,144790279,100130274,16,40,65,4,7,14,1415,1.13%,2.83%,4.59%,0.28%,0.49%,0.99%
chr7,143771275,143772288,392138,12,33,48,2,5,10,1013,1.18%,3.26%,4.74%,0.20%,0.49%,0.99%
chr9,116135699,116139279,81932,27,55,100,11,20,35,3580,0.75%,1.54%,2.79%,0.31%,0.56%,0.98%
chr19,14991138,14992264,26333,22,63,112,3,8,11,1126,1.95%,5.60%,9.95%,0.27%,0.71%,0.98%
chr11,5862158,5863182,390078,24,59,86,3,7,10,1024,2.34%,5.76%,8.40%,0.29%,0.68%,0.98%
chr11,56431138,56432163,219493,25,58,87,3,7,10,1025,2.44%,5.66%,8.49%,0.29%,0.68%,0.98%
chr5,180017103,180018540,92304,21,62,106,1,5,14,1437,1.46%,4.31%,7.38%,0.07%,0.35%,0.97%
chr21,46066331,46067564,386678,30,78,126,2,6,12,1233,2.43%,6.33%,10.22%,0.16%,0.49%,0.97%
chr11,49973943,49974971,283092,41,58,96,6,6,10,1028,3.99%,5.64%,9.34%,0.58%,0.58%,0.97%
chr6,132873832,132874860,83551,19,52,81,3,6,10,1028,1.85%,5.06%,7.88%,0.29%,0.58%,0.97%
chr19,15838834,15839862,26538,33,78,122,2,5,10,1028,3.21%,7.59%,11.87%,0.19%,0.49%,0.97%
chr11,7949180,7950209,390093,15,49,88,1,3,10,1029,1.46%,4.76%,8.55%,0.10%,0.29%,0.97%
chr11,48327775,48328704,256148,17,43,66,4,8,9,929,1.83%,4.63%,7.10%,0.43%,0.86%,0.97%
chr3,97806017,97806946,81050,24,49,74,4,7,9,929,2.58%,5.27%,7.97%,0.43%,0.75%,0.97%
chr11,123886282,123887217,390264,13,38,73,0,3,9,935,1.39%,4.06%,7.81%,0.00%,0.32%,0.96%
chr4,7432022,7436700,768239,51,128,225,6,24,45,4678,1.09%,2.74%,4.81%,0.13%,0.51%,0.96%
chr1,248112160,248113098,391190,18,44,67,4,8,9,938,1.92%,4.69%,7.14%,0.43%,0.85%,0.96%
chr20,42354804,42355638,149699,22,38,55,5,6,8,834,2.64%,4.56%,6.59%,0.60%,0.72%,0.96%
chr1,248343288,248344331,391194,15,21,30,4,6,10,1043,1.44%,2.01%,2.88%,0.38%,0.58%,0.96%
chr15,34633917,34635378,55505,14,39,71,2,8,14,1461,0.96%,2.67%,4.86%,0.14%,0.55%,0.96%
chr21,45999332,46000481,386680,23,55,87,4,8,11,1149,2.00%,4.79%,7.57%,0.35%,0.70%,0.96%
chr14,22133297,22134238,26686,23,67,108,2,3,9,941,2.44%,7.12%,11.48%,0.21%,0.32%,0.96%
chr19,47778142,47778979,255783,12,39,50,0,6,8,837,1.43%,4.66%,5.97%,0.00%,0.72%,0.96%
chr9,21077104,21077943,3456,12,36,70,1,3,8,839,1.43%,4.29%,8.34%,0.12%,0.36%,0.95%
chr12,11338599,11339543,353164,15,34,55,1,4,9,944,1.59%,3.60%,5.83%,0.11%,0.42%,0.95%
chr19,58907457,58908407,646862,18,32,46,2,5,9,950,1.89%,3.37%,4.84%,0.21%,0.53%,0.95%
chr19,15852203,15853153,26532,30,78,120,1,5,9,950,3.16%,8.21%,12.63%,0.11%,0.53%,0.95%
chr11,5152922,5153872,390054,35,70,103,2,3,9,950,3.68%,7.37%,10.84%,0.21%,0.32%,0.95%
chr5,176827108,176827637,345456,16,29,44,2,3,5,529,3.02%,5.48%,8.32%,0.38%,0.57%,0.95%
chr11,4566421,4567374,119772,28,63,92,4,6,9,953,2.94%,6.61%,9.65%,0.42%,0.63%,0.94%
chr12,55886147,55887100,403284,15,33,54,1,4,9,953,1.57%,3.46%,5.67%,0.10%,0.42%,0.94%
chr19,53792856,53794875,112401,34,86,145,4,9,19,2019,1.68%,4.26%,7.18%,0.20%,0.45%,0.94%
chr1,158724510,158725681,128371,16,52,73,2,8,11,1171,1.37%,4.44%,6.23%,0.17%,0.68%,0.94%
chr17,79632066,79633665,339229,21,47,80,2,11,15,1599,1.31%,2.94%,5.00%,0.13%,0.69%,0.94%
chr9,117607874,117610865,8899,25,58,92,4,10,28,2991,0.84%,1.94%,3.08%,0.13%,0.33%,0.94%
chr11,5474638,5475707,390064,30,83,122,2,6,10,1069,2.81%,7.76%,11.41%,0.19%,0.56%,0.94%
chr3,160394948,160396233,80117,9,25,35,4,8,12,1285,0.70%,1.95%,2.72%,0.31%,0.62%,0.93%
chr11,123777109,123778183,338662,13,44,77,3,7,10,1074,1.21%,4.10%,7.17%,0.28%,0.65%,0.93%
chr11,48238344,48239314,119765,18,39,66,0,5,9,970,1.86%,4.02%,6.80%,0.00%,0.52%,0.93%
chr1,248801588,248802559,403244,26,36,57,3,5,9,971,2.68%,3.71%,5.87%,0.31%,0.51%,0.93%
chr11,57982217,57983195,219959,12,35,60,1,4,9,978,1.23%,3.58%,6.13%,0.10%,0.41%,0.92%
chr5,53751445,53752207,8988,21,63,103,2,5,7,762,2.76%,8.27%,13.52%,0.26%,0.66%,0.92%
chr17,4634723,4636905,400569,25,70,103,5,12,20,2182,1.15%,3.21%,4.72%,0.23%,0.55%,0.92%
chr11,124293807,124294789,283162,11,25,50,3,4,9,982,1.12%,2.55%,5.09%,0.31%,0.41%,0.92%
chr19,57966542,57967854,57191,12,41,57,2,8,12,1312,0.91%,3.13%,4.34%,0.15%,0.61%,0.91%
chr21,32119112,32119551,337978,27,38,43,4,4,4,439,6.15%,8.66%,9.79%,0.91%,0.91%,0.91%
chr1,159283460,159284449,441911,10,30,50,2,3,9,989,1.01%,3.03%,5.06%,0.20%,0.30%,0.91%
chr21,45958864,45960078,386677,24,49,77,3,7,11,1214,1.98%,4.04%,6.34%,0.25%,0.58%,0.91%
chr1,248128535,248129641,391191,19,40,62,4,9,10,1106,1.72%,3.62%,5.61%,0.36%,0.81%,0.90%
chr16,88704999,88706881,27189,29,92,151,2,9,17,1882,1.54%,4.89%,8.02%,0.11%,0.48%,0.90%
chr11,2181009,2182571,3630,14,46,70,2,9,14,1562,0.90%,2.94%,4.48%,0.13%,0.58%,0.90%
chr1,152538130,152539248,353145,15,38,48,4,9,10,1118,1.34%,3.40%,4.29%,0.36%,0.81%,0.89%
chr19,15917817,15918936,26539,21,64,105,3,5,10,1119,1.88%,5.72%,9.38%,0.27%,0.45%,0.89%
chr19,7989372,7991051,404217,18,48,66,7,11,15,1679,1.07%,2.86%,3.93%,0.42%,0.66%,0.89%
chr7,143747461,143748473,393046,12,32,46,3,7,9,1012,1.19%,3.16%,4.55%,0.30%,0.69%,0.89%
chr5,175815748,175816772,192286,14,29,52,2,4,9,1024,1.37%,2.83%,5.08%,0.20%,0.39%,0.88%
chr22,43035809,43036607,267020,14,46,76,1,5,7,798,1.75%,5.76%,9.52%,0.13%,0.63%,0.88%
chr19,49925671,49926698,113091,18,33,51,4,7,9,1027,1.75%,3.21%,4.97%,0.39%,0.68%,0.88%
chr5,132323344,132323802,11017,10,16,25,1,3,4,458,2.18%,3.49%,5.46%,0.22%,0.66%,0.87%
chr11,56467864,56468781,390174,24,61,92,4,7,8,917,2.62%,6.65%,10.03%,0.44%,0.76%,0.87%
chr11,57995354,57996390,219960,12,35,57,2,4,9,1036,1.16%,3.38%,5.50%,0.19%,0.39%,0.87%
chr7,53103349,53104617,285877,23,73,128,2,7,11,1268,1.81%,5.76%,10.09%,0.16%,0.55%,0.87%
chr4,4861393,4865663,4487,24,80,141,5,18,37,4270,0.56%,1.87%,3.30%,0.12%,0.42%,0.87%
chr12,55968199,55969128,121129,16,34,59,1,4,8,929,1.72%,3.66%,6.35%,0.11%,0.43%,0.86%
chr17,3100813,3101742,26189,15,47,83,0,4,8,929,1.61%,5.06%,8.93%,0.00%,0.43%,0.86%
chr2,85132749,85133795,9168,20,37,48,3,8,9,1046,1.91%,3.54%,4.59%,0.29%,0.76%,0.86%
chr19,9225274,9226439,125962,26,64,104,4,9,10,1165,2.23%,5.49%,8.93%,0.34%,0.77%,0.86%
chr12,55725485,55726420,254786,11,28,43,2,6,8,935,1.18%,2.99%,4.60%,0.21%,0.64%,0.86%
chr14,20528204,20529142,122742,21,48,73,2,5,8,938,2.24%,5.12%,7.78%,0.21%,0.53%,0.85%
chr17,2965963,2966901,8386,21,61,105,2,4,8,938,2.24%,6.50%,11.19%,0.21%,0.43%,0.85%
chr7,100547257,100550424,4584,28,69,94,11,18,27,3167,0.88%,2.18%,2.97%,0.35%,0.57%,0.85%
chr19,55888204,55889612,147744,17,58,100,2,6,12,1408,1.21%,4.12%,7.10%,0.14%,0.43%,0.85%
chr3,97887544,97888485,403274,30,54,69,1,6,8,941,3.19%,5.74%,7.33%,0.11%,0.64%,0.85%
chr16,3254247,3255188,4992,13,25,40,2,4,8,941,1.38%,2.66%,4.25%,0.21%,0.43%,0.85%
chr11,6942205,6943264,120775,27,64,93,1,4,9,1059,2.55%,6.04%,8.78%,0.09%,0.38%,0.85%
chr12,55714346,55715408,390321,10,29,44,3,7,9,1062,0.94%,2.73%,4.14%,0.28%,0.66%,0.85%
chr3,98001732,98002676,79310,27,45,60,3,6,8,944,2.86%,4.77%,6.36%,0.32%,0.64%,0.85%
chr11,57885972,57886916,219954,14,37,66,1,4,8,944,1.48%,3.92%,6.99%,0.11%,0.42%,0.85%
chr10,5566924,5568225,810,26,67,122,2,8,11,1301,2.00%,5.15%,9.38%,0.15%,0.61%,0.85%
chr14,23511376,23513269,122706,20,41,58,9,13,16,1893,1.06%,2.17%,3.06%,0.48%,0.69%,0.85%
chr11,55904247,55905194,81168,24,64,102,1,5,8,947,2.53%,6.76%,10.77%,0.11%,0.53%,0.84%
chr11,56380031,56380978,390168,24,54,86,1,3,8,947,2.53%,5.70%,9.08%,0.11%,0.32%,0.84%
chr11,4824663,4825847,119695,16,39,81,3,6,10,1184,1.35%,3.29%,6.84%,0.25%,0.51%,0.84%
chr10,124895478,124897257,340784,17,44,70,4,13,15,1779,0.96%,2.47%,3.93%,0.22%,0.73%,0.84%
chr14,21359558,21360507,6037,27,61,82,2,7,8,949,2.85%,6.43%,8.64%,0.21%,0.74%,0.84%
chr15,59499042,59500705,92483,18,35,55,7,10,14,1663,1.08%,2.10%,3.31%,0.42%,0.60%,0.84%
chr11,56127691,56128764,219477,24,57,87,3,7,9,1073,2.24%,5.31%,8.11%,0.28%,0.65%,0.84%
chr17,4692254,4693685,388323,20,64,100,1,6,12,1431,1.40%,4.47%,6.99%,0.07%,0.42%,0.84%
chr10,71390007,71393352,219738,26,72,121,8,18,28,3345,0.78%,2.15%,3.62%,0.24%,0.54%,0.84%
chr14,20344391,20345468,390431,28,45,59,3,5,9,1077,2.60%,4.18%,5.48%,0.28%,0.46%,0.84%
chr19,15052301,15053260,26658,21,74,127,1,3,8,959,2.19%,7.72%,13.24%,0.10%,0.31%,0.83%
chr20,3063202,3065370,551,23,70,104,6,14,18,2168,1.06%,3.23%,4.80%,0.28%,0.65%,0.83%
chr11,57957906,57958990,219957,12,35,61,1,5,9,1084,1.11%,3.23%,5.63%,0.09%,0.46%,0.83%
chr19,49535169,49536495,114335,15,51,78,4,7,11,1326,1.13%,3.85%,5.88%,0.30%,0.53%,0.83%
chr14,21269387,21271437,6035,42,97,140,4,12,17,2050,2.05%,4.73%,6.83%,0.20%,0.59%,0.83%
chr17,3323862,3324827,8392,23,57,77,1,4,8,965,2.38%,5.91%,7.98%,0.10%,0.41%,0.83%
chr11,56113421,56114507,390157,25,54,86,3,7,9,1086,2.30%,4.97%,7.92%,0.28%,0.64%,0.83%
chr11,5757681,5758768,387748,30,67,100,3,8,9,1087,2.76%,6.16%,9.20%,0.28%,0.74%,0.83%
chr11,6023216,6024424,120793,19,40,68,2,7,10,1208,1.57%,3.31%,5.63%,0.17%,0.58%,0.83%
chr22,19118321,19120134,23617,21,43,65,5,12,15,1813,1.16%,2.37%,3.59%,0.28%,0.66%,0.83%
chr16,56700643,56701977,4495,17,54,99,3,6,11,1334,1.27%,4.05%,7.42%,0.22%,0.45%,0.82%
chr19,9361606,9362820,26648,10,37,52,2,8,10,1214,0.82%,3.05%,4.28%,0.16%,0.66%,0.82%
chr11,6007122,6008215,338751,18,40,70,1,6,9,1093,1.65%,3.66%,6.40%,0.09%,0.55%,0.82%
chr17,3572109,3572962,83460,24,65,103,2,5,7,853,2.81%,7.62%,12.08%,0.23%,0.59%,0.82%
chr8,143866296,143868008,8581,27,48,66,5,11,14,1712,1.58%,2.80%,3.86%,0.29%,0.64%,0.82%
chr17,40274756,40275371,94086,10,22,34,2,4,5,615,1.63%,3.58%,5.53%,0.33%,0.65%,0.81%
chr19,7741514,7744712,199675,28,68,119,8,18,26,3198,0.88%,2.13%,3.72%,0.25%,0.56%,0.81%
chr17,7258442,7260538,339168,19,49,78,6,10,17,2096,0.91%,2.34%,3.72%,0.29%,0.48%,0.81%
chr20,62152077,62153559,79144,25,63,116,2,5,12,1482,1.69%,4.25%,7.83%,0.13%,0.34%,0.81%
chr12,56030644,56031638,121130,13,31,51,2,3,8,994,1.31%,3.12%,5.13%,0.20%,0.30%,0.80%
chr11,123847368,123848488,219873,15,40,75,1,2,9,1120,1.34%,3.57%,6.70%,0.09%,0.18%,0.80%
chr11,124412578,124413575,219858,17,35,61,2,5,8,997,1.71%,3.51%,6.12%,0.20%,0.50%,0.80%
chr17,3029878,3030875,8390,17,55,98,1,3,8,997,1.71%,5.52%,9.83%,0.10%,0.30%,0.80%
chr9,111616871,111619239,10880,19,51,90,3,7,19,2368,0.80%,2.15%,3.80%,0.13%,0.30%,0.80%
chr14,31952173,31953171,2856,11,31,39,1,4,8,998,1.10%,3.11%,3.91%,0.10%,0.40%,0.80%
chr12,48961467,48963849,3906,16,44,72,6,13,19,2382,0.67%,1.85%,3.02%,0.25%,0.55%,0.80%
chr11,56408942,56409947,338675,24,55,88,2,4,8,1005,2.39%,5.47%,8.76%,0.20%,0.40%,0.80%
chr16,56659387,56661024,4493,22,72,129,2,8,13,1637,1.34%,4.40%,7.88%,0.12%,0.49%,0.79%
chr12,130647004,130650285,11211,38,103,167,6,17,26,3281,1.16%,3.14%,5.09%,0.18%,0.52%,0.79%
chr11,111900582,111901091,10465,10,34,44,2,4,4,509,1.96%,6.68%,8.64%,0.39%,0.79%,0.79%
chr19,639879,643703,27006,37,124,219,5,16,30,3824,0.97%,3.24%,5.73%,0.13%,0.42%,0.78%
chr16,11361605,11363390,7142,20,53,112,3,4,14,1785,1.12%,2.97%,6.27%,0.17%,0.22%,0.78%
chr21,31691452,31692607,388818,21,43,61,2,6,9,1155,1.82%,3.72%,5.28%,0.17%,0.52%,0.78%
chr10,71331454,71332994,50674,24,68,120,2,7,12,1540,1.56%,4.42%,7.79%,0.13%,0.45%,0.78%
chr11,124310022,124311054,26493,11,28,55,1,4,8,1032,1.07%,2.71%,5.33%,0.10%,0.39%,0.78%
chr1,63788730,63790797,27022,13,50,80,2,7,16,2067,0.63%,2.42%,3.87%,0.10%,0.34%,0.77%
chr11,56057529,56058566,219469,19,48,74,4,4,8,1037,1.83%,4.63%,7.14%,0.39%,0.39%,0.77%
chr19,49547141,49548568,114335,15,51,78,4,7,11,1427,1.05%,3.57%,5.47%,0.28%,0.49%,0.77%
chr19,49547141,49548568,94115,15,51,78,4,7,11,1427,1.05%,3.57%,5.47%,0.28%,0.49%,0.77%
chr19,49547141,49548568,93659,15,51,78,4,7,11,1427,1.05%,3.57%,5.47%,0.28%,0.49%,0.77%
chr19,49547141,49548568,1082,15,51,78,4,7,11,1427,1.05%,3.57%,5.47%,0.28%,0.49%,0.77%
chr19,36641824,36643771,1346,19,53,74,5,10,15,1947,0.98%,2.72%,3.80%,0.26%,0.51%,0.77%
chr3,33131913,33138293,643853,23,60,100,13,30,49,6380,0.36%,0.94%,1.57%,0.20%,0.47%,0.77%
chr22,19710468,19712294,2812,26,65,97,5,10,14,1826,1.42%,3.56%,5.31%,0.27%,0.55%,0.77%
chr21,31859362,31859755,337969,9,20,23,0,3,3,393,2.29%,5.09%,5.85%,0.00%,0.76%,0.76%
chr11,124189134,124190184,283160,15,39,63,1,5,8,1050,1.43%,3.71%,6.00%,0.10%,0.48%,0.76%
chr19,39737773,39739219,101180976,15,35,46,2,5,11,1446,1.04%,2.42%,3.18%,0.14%,0.35%,0.76%
chr16,56703726,56705041,4496,16,51,95,3,5,10,1315,1.22%,3.88%,7.22%,0.23%,0.38%,0.76%
chr12,31944123,31945175,440093,19,64,123,0,2,8,1052,1.81%,6.08%,11.69%,0.00%,0.19%,0.76%
chr1,179833916,179834311,163590,12,26,39,1,2,3,395,3.04%,6.58%,9.87%,0.25%,0.51%,0.76%
chr17,14138990,14140179,146822,27,67,89,2,7,9,1189,2.27%,5.63%,7.49%,0.17%,0.59%,0.76%
chr19,49526126,49527590,114335,15,51,78,4,7,11,1464,1.02%,3.48%,5.33%,0.27%,0.48%,0.75%
chr19,49526126,49527590,94115,15,51,78,4,7,11,1464,1.02%,3.48%,5.33%,0.27%,0.48%,0.75%
chr19,49526126,49527590,93659,15,51,78,4,7,11,1464,1.02%,3.48%,5.33%,0.27%,0.48%,0.75%
chr19,49526126,49527590,1082,15,51,78,4,7,11,1464,1.02%,3.48%,5.33%,0.27%,0.48%,0.75%
chr1,153190060,153191793,574414,18,41,61,4,10,13,1733,1.04%,2.37%,3.52%,0.23%,0.58%,0.75%
chr17,46799084,46799884,84366,14,36,55,1,3,6,800,1.75%,4.50%,6.88%,0.13%,0.38%,0.75%
chr1,161192082,161193421,336,12,28,59,2,4,10,1339,0.90%,2.09%,4.41%,0.15%,0.30%,0.75%
chr1,248223984,248224922,391192,16,25,38,4,4,7,938,1.71%,2.67%,4.05%,0.43%,0.43%,0.75%
chr1,248084320,248085258,343172,22,50,74,3,4,7,938,2.35%,5.33%,7.89%,0.32%,0.43%,0.75%
chr1,248512077,248513015,127066,19,43,60,3,4,7,938,2.03%,4.58%,6.40%,0.32%,0.43%,0.75%
chr16,31539185,31540124,51327,12,35,43,3,5,7,939,1.28%,3.73%,4.58%,0.32%,0.53%,0.75%
chr1,159750722,159752333,54935,18,46,66,5,10,12,1611,1.12%,2.86%,4.10%,0.31%,0.62%,0.74%
chr1,13216356,13219581,645359,23,56,79,7,17,24,3225,0.71%,1.74%,2.45%,0.22%,0.53%,0.74%
chr14,20215587,20216528,441669,28,45,56,3,5,7,941,2.98%,4.78%,5.95%,0.32%,0.53%,0.74%
chr13,98828039,98829519,140432,30,66,101,7,8,11,1480,2.03%,4.46%,6.82%,0.47%,0.54%,0.74%
chr5,71014990,71016875,9607,15,43,64,3,9,14,1885,0.80%,2.28%,3.40%,0.16%,0.48%,0.74%
chr11,55110627,55111707,81327,26,64,112,1,3,8,1080,2.41%,5.93%,10.37%,0.09%,0.28%,0.74%
chr15,22368478,22369561,390538,11,20,30,1,4,8,1083,1.02%,1.85%,2.77%,0.09%,0.37%,0.74%
chr19,54844456,54850421,23547,39,106,157,13,27,44,5965,0.65%,1.78%,2.63%,0.22%,0.45%,0.74%
chr22,24236191,24237414,4282,20,44,72,2,6,9,1223,1.64%,3.60%,5.89%,0.16%,0.49%,0.74%
chr5,148206156,148208196,154,26,49,62,4,12,15,2040,1.27%,2.40%,3.04%,0.20%,0.59%,0.74%
chr8,11994677,11996586,645836,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr8,11994677,11996586,645402,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr8,11994677,11996586,401447,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr8,11994677,11996586,392197,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr8,11994677,11996586,392188,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr8,11994677,11996586,377630,16,34,45,6,11,14,1909,0.84%,1.78%,2.36%,0.31%,0.58%,0.73%
chr9,107379529,107380485,286362,17,34,47,2,6,7,956,1.78%,3.56%,4.92%,0.21%,0.63%,0.73%
chr19,49550895,49552400,114335,15,51,78,4,7,11,1505,1.00%,3.39%,5.18%,0.27%,0.47%,0.73%
chr19,49550895,49552400,94115,15,51,78,4,7,11,1505,1.00%,3.39%,5.18%,0.27%,0.47%,0.73%
chr19,49550895,49552400,93659,15,51,78,4,7,11,1505,1.00%,3.39%,5.18%,0.27%,0.47%,0.73%
chr19,49550895,49552400,1082,15,51,78,4,7,11,1505,1.00%,3.39%,5.18%,0.27%,0.47%,0.73%
chr6,42858005,42858554,441150,17,27,36,1,1,4,549,3.10%,4.92%,6.56%,0.18%,0.18%,0.73%
chr10,99349450,99350690,414157,13,28,42,3,5,9,1240,1.05%,2.26%,3.39%,0.24%,0.40%,0.73%
chr1,59096513,59097202,204,20,42,68,2,3,5,689,2.90%,6.10%,9.87%,0.29%,0.44%,0.73%
chr17,39190142,39191107,81850,25,62,104,2,5,7,965,2.59%,6.42%,10.78%,0.21%,0.52%,0.73%
chr3,133646992,133648656,80111,18,55,92,0,5,12,1664,1.08%,3.31%,5.53%,0.00%,0.30%,0.72%
chr3,97983088,97984200,79295,28,46,64,2,6,8,1112,2.52%,4.14%,5.76%,0.18%,0.54%,0.72%
chr19,46913629,46916841,83987,20,64,108,4,15,23,3212,0.62%,1.99%,3.36%,0.12%,0.47%,0.72%
chr1,153175919,153177596,149018,16,37,59,3,10,12,1677,0.95%,2.21%,3.52%,0.18%,0.60%,0.72%
chr10,88614453,88615993,79871,9,18,29,3,7,11,1540,0.58%,1.17%,1.88%,0.19%,0.45%,0.71%
chr19,39734246,39735646,282617,15,35,46,2,6,10,1400,1.07%,2.50%,3.29%,0.14%,0.43%,0.71%
chr14,92524896,92525877,4287,13,33,50,2,7,7,981,1.33%,3.36%,5.10%,0.20%,0.71%,0.71%
chr11,56510303,56511287,283189,23,63,101,3,7,7,984,2.34%,6.40%,10.26%,0.30%,0.71%,0.71%
chr15,22382382,22383507,283694,11,21,32,2,4,8,1125,0.98%,1.87%,2.84%,0.18%,0.36%,0.71%
chr16,1535887,1538982,390667,23,58,96,5,12,22,3095,0.74%,1.87%,3.10%,0.16%,0.39%,0.71%
chr9,21367371,21368075,3447,8,24,35,0,4,5,704,1.14%,3.41%,4.97%,0.00%,0.57%,0.71%
chr1,155112367,155113071,54344,7,22,37,1,3,5,704,0.99%,3.13%,5.26%,0.14%,0.43%,0.71%
chr11,124266278,124267264,390271,12,30,57,0,3,7,986,1.22%,3.04%,5.78%,0.00%,0.30%,0.71%
chr11,4842551,4843686,119694,15,44,84,2,6,8,1135,1.32%,3.88%,7.40%,0.18%,0.53%,0.70%
chr19,405438,409139,126567,45,110,174,5,14,26,3701,1.22%,2.97%,4.70%,0.14%,0.38%,0.70%
chr12,11138512,11139511,259296,14,29,45,2,5,7,999,1.40%,2.90%,4.50%,0.20%,0.50%,0.70%
chr1,248844628,248845629,401994,25,35,53,5,7,7,1001,2.50%,3.50%,5.29%,0.50%,0.70%,0.70%
chr12,11174218,11175219,259294,13,33,49,1,3,7,1001,1.30%,3.30%,4.90%,0.10%,0.30%,0.70%
chr6,132909731,132910877,9038,19,52,85,2,4,8,1146,1.66%,4.54%,7.42%,0.17%,0.35%,0.70%
chr19,47549165,47551888,54958,13,35,63,4,11,19,2723,0.48%,1.29%,2.31%,0.15%,0.40%,0.70%
chr11,121986062,121986923,414899,16,38,73,1,3,6,861,1.86%,4.41%,8.48%,0.12%,0.35%,0.70%
chr1,158449668,158450675,343406,22,49,78,1,3,7,1007,2.18%,4.87%,7.75%,0.10%,0.30%,0.70%
chr19,5455426,5456867,148066,29,83,151,1,6,10,1441,2.01%,5.76%,10.48%,0.07%,0.42%,0.69%
chr9,79634571,79635869,442425,19,51,91,2,4,9,1298,1.46%,3.93%,7.01%,0.15%,0.31%,0.69%
chr6,1312675,1314992,94234,40,85,134,4,10,16,2317,1.73%,3.67%,5.78%,0.17%,0.43%,0.69%
chr11,48266608,48267622,119764,20,42,69,2,3,7,1014,1.97%,4.14%,6.80%,0.20%,0.30%,0.69%
chr15,23930565,23932450,4692,21,53,83,3,8,13,1885,1.11%,2.81%,4.40%,0.16%,0.42%,0.69%
chr19,9324526,9325542,125958,20,53,74,1,4,7,1016,1.97%,5.22%,7.28%,0.10%,0.39%,0.69%
chr17,43922256,43924438,162540,26,64,86,4,11,15,2182,1.19%,2.93%,3.94%,0.18%,0.50%,0.69%
chr12,11182986,11184006,259290,13,33,48,2,5,7,1020,1.27%,3.24%,4.71%,0.20%,0.49%,0.69%
chr9,21440440,21441315,3439,11,29,40,4,7,6,875,1.26%,3.31%,4.57%,0.46%,0.80%,0.69%
chr11,5968570,5969591,390083,16,43,72,3,3,7,1021,1.57%,4.21%,7.05%,0.29%,0.29%,0.69%
chr21,31962424,31962716,100288287,11,19,21,1,2,2,292,3.77%,6.51%,7.19%,0.34%,0.68%,0.68%
chr11,56019676,56020698,390154,16,38,68,1,4,7,1022,1.57%,3.72%,6.65%,0.10%,0.39%,0.68%
chr17,56232494,56233517,26689,12,28,45,1,5,7,1023,1.17%,2.74%,4.40%,0.10%,0.49%,0.68%
chr6,655939,656963,135458,20,52,78,2,6,7,1024,1.95%,5.08%,7.62%,0.20%,0.59%,0.68%
chr17,39458078,39459103,100533177,22,40,50,5,7,7,1025,2.15%,3.90%,4.88%,0.49%,0.68%,0.68%
chr11,3659733,3663546,116969,23,57,99,6,17,26,3813,0.60%,1.49%,2.60%,0.16%,0.45%,0.68%
chr9,107366924,107367951,392376,17,34,49,2,4,7,1027,1.66%,3.31%,4.77%,0.19%,0.39%,0.68%
chr11,48346472,48347507,256144,18,41,66,2,5,7,1035,1.74%,3.96%,6.38%,0.19%,0.48%,0.68%
chr16,3405889,3406924,4993,13,34,49,2,5,7,1035,1.26%,3.29%,4.73%,0.19%,0.48%,0.68%
chr11,69587797,69590171,2249,25,56,94,2,8,16,2374,1.05%,2.36%,3.96%,0.08%,0.34%,0.67%
chr11,637293,640706,1815,24,66,122,5,17,23,3413,0.70%,1.93%,3.57%,0.15%,0.50%,0.67%
chr19,49621655,49622397,55150,16,48,73,0,5,5,742,2.16%,6.47%,9.84%,0.00%,0.67%,0.67%
chr20,43752066,43753106,128488,13,30,45,2,6,7,1040,1.25%,2.88%,4.33%,0.19%,0.58%,0.67%
chr21,31768392,31769136,140258,17,40,51,2,3,5,744,2.28%,5.38%,6.85%,0.27%,0.40%,0.67%
chr1,247835320,247836365,441933,19,55,85,0,5,7,1045,1.82%,5.26%,8.13%,0.00%,0.48%,0.67%
chr11,71238313,71239210,440050,21,53,65,4,7,6,897,2.34%,5.91%,7.25%,0.45%,0.78%,0.67%
chr11,58189738,58190786,390190,8,21,41,1,4,7,1048,0.76%,2.00%,3.91%,0.10%,0.38%,0.67%
chr10,111440200,111440799,331,20,32,39,2,3,4,599,3.34%,5.34%,6.51%,0.33%,0.50%,0.67%
chr6,90604188,90605839,84694,17,66,105,1,4,11,1651,1.03%,4.00%,6.36%,0.06%,0.24%,0.67%
chr20,62737173,62738524,2832,21,50,77,1,6,9,1351,1.55%,3.70%,5.70%,0.07%,0.44%,0.67%
chr9,140445651,140447007,64975,13,29,41,2,7,9,1356,0.96%,2.14%,3.02%,0.15%,0.52%,0.66%
chr1,248004199,248005254,391189,29,59,82,4,6,7,1055,2.75%,5.59%,7.77%,0.38%,0.57%,0.66%
